"filename", "language", "Python", "JSON", "JSON with Comments", "SCSS", "Markdown", "TypeScript", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\TEST\bk\mysite\manage.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 3, 5, 23
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\TEST\bk\mysite\mysite\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\TEST\bk\mysite\mysite\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\TEST\bk\mysite\mysite\settings.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 25, 31, 121
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\TEST\bk\mysite\mysite\urls.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 15, 2, 22
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\TEST\bk\mysite\mysite\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\README.md", "Markdown", 0, 0, 0, 0, -14, 0, 0, 0, 0, -14, -28
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\angular.json", "JSON", 0, -114, 0, 0, 0, 0, 0, 0, 0, -1, -115
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\electron-main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -32, -3, -9, -44
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -37, -6, -2, -45
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\package-lock.json", "JSON", 0, -9594, 0, 0, 0, 0, 0, 0, 0, -1, -9595
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\package.json", "JSON", 0, -58, 0, 0, 0, 0, 0, 0, 0, -1, -59
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, -34, 0, 0, 0, -3, -37
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, -4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -31, 0, 0, 0, -5, -36
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, -22, 0, 0, -4, -9, -35
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, -60, 0, 0, 0, -5, -65
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\components\page404\page404.component.html", "HTML", 0, 0, 0, 0, 0, 0, -4, 0, 0, -2, -6
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\components\page404\page404.component.scss", "SCSS", 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, -6
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\components\page404\page404.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -20, 0, 0, 0, -6, -26
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\components\page404\page404.component.ts", "TypeScript", 0, 0, 0, 0, 0, -11, 0, 0, 0, -5, -16
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\guards\auth.guard.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\guards\auth.guard.ts", "TypeScript", 0, 0, 0, 0, 0, -21, 0, 0, 0, -8, -29
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\interceptors\auth\auth.interceptor.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -13, 0, 0, 0, -4, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\interceptors\auth\auth.interceptor.ts", "TypeScript", 0, 0, 0, 0, 0, -81, 0, 0, 0, -14, -95
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\material.module.ts", "TypeScript", 0, 0, 0, 0, 0, -104, 0, 0, -1, -4, -109
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\error\error-handler.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\error\error-handler.service.ts", "TypeScript", 0, 0, 0, 0, 0, -17, 0, 0, 0, -4, -21
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\affectations\affectation.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\affectations\affectation.service.ts", "TypeScript", 0, 0, 0, 0, 0, -36, 0, 0, 0, -10, -46
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\auth\auth.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\auth\auth.service.ts", "TypeScript", 0, 0, 0, 0, 0, -26, 0, 0, -4, -12, -42
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\centres_cout\centre-cout.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\centres_cout\centre-cout.service.ts", "TypeScript", 0, 0, 0, 0, 0, -36, 0, 0, 0, -11, -47
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\contrats\contrat.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\contrats\contrat.service.ts", "TypeScript", 0, 0, 0, 0, 0, -36, 0, 0, 0, -10, -46
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\directions\direction.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\directions\direction.service.ts", "TypeScript", 0, 0, 0, 0, 0, -36, 0, 0, 0, -11, -47
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\employes\employe.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\employes\employe.service.ts", "TypeScript", 0, 0, 0, 0, 0, -47, 0, 0, 0, -12, -59
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\entites\entite.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\entites\entite.service.ts", "TypeScript", 0, 0, 0, 0, 0, -36, 0, 0, 0, -11, -47
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\fonctions\fonction.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\fonctions\fonction.service.ts", "TypeScript", 0, 0, 0, 0, 0, -36, 0, 0, 0, -12, -48
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\formules\formule.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\formules\formule.service.ts", "TypeScript", 0, 0, 0, 0, 0, -45, 0, 0, 0, -12, -57
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\helpers\helper\helper.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\helpers\helper\helper.service.ts", "TypeScript", 0, 0, 0, 0, 0, -65, 0, 0, 0, -10, -75
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\helpers\params\params.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\helpers\params\params.service.ts", "TypeScript", 0, 0, 0, 0, 0, -80, 0, 0, 0, -8, -88
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\rubriques\rubrique.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\rubriques\rubrique.service.ts", "TypeScript", 0, 0, 0, 0, 0, -36, 0, 0, 0, -11, -47
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\traitements\traitement.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\traitements\traitement.service.ts", "TypeScript", 0, 0, 0, 0, 0, -19, 0, 0, 0, -6, -25
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\variables\variable.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\variables\variable.service.ts", "TypeScript", 0, 0, 0, 0, 0, -34, 0, 0, 0, -11, -45
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\villes\ville.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\http\villes\ville.service.ts", "TypeScript", 0, 0, 0, 0, 0, -41, 0, 0, 0, -9, -50
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\storage\storage.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\storage\storage.service.ts", "TypeScript", 0, 0, 0, 0, 0, -71, 0, 0, 0, -19, -90
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\utils\builders\affectation_builder\affectation-builder.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\utils\builders\affectation_builder\affectation-builder.service.ts", "TypeScript", 0, 0, 0, 0, 0, -20, 0, 0, 0, -5, -25
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\utils\builders\centre_cout_builder\centre-cout-builder.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\utils\builders\centre_cout_builder\centre-cout-builder.service.ts", "TypeScript", 0, 0, 0, 0, 0, -20, 0, 0, 0, -5, -25
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\utils\builders\contrat_builder\contrat-builder.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_frontend\src\app\core\services\utils\builders\contrat_builder\contrat-builder.service.ts", "TypeScript", 0, 0, 0, 0, 0, -20, 0, 0, 0, -6, -26
